query_a,size_a,query_b,size_b,overlap,union,jaccard,overlap_pct_of_a,overlap_pct_of_b
ml_anomaly_detection_production,705,ml_anomaly_detection_production,705,705,705,1.0,1.0,1.0
ml_anomaly_detection_production,705,ml_automation,1650,21,2334,0.008997,0.029787,0.012727
ml_anomaly_detection_production,705,ml_defect_detection,682,18,1369,0.013148,0.025532,0.026393
ml_anomaly_detection_production,705,ml_manufacturing_optimization,3938,26,4617,0.005631,0.036879,0.006602
ml_anomaly_detection_production,705,ml_planning_production,2295,26,2974,0.008742,0.036879,0.011329
ml_anomaly_detection_production,705,ml_plm,252,1,956,0.001046,0.001418,0.003968
ml_anomaly_detection_production,705,ml_predictive_maintenance,4395,110,4990,0.022044,0.156028,0.025028
ml_anomaly_detection_production,705,ml_process_control,3283,26,3962,0.006562,0.036879,0.00792
ml_anomaly_detection_production,705,ml_process_modeling,758,3,1460,0.002055,0.004255,0.003958
ml_anomaly_detection_production,705,ml_process_optimization,617,6,1316,0.004559,0.008511,0.009724
ml_anomaly_detection_production,705,ml_product_design,1409,1,2113,0.000473,0.001418,0.00071
ml_anomaly_detection_production,705,ml_product_development,915,2,1618,0.001236,0.002837,0.002186
ml_anomaly_detection_production,705,ml_production_optimization,7195,93,7807,0.011912,0.131915,0.012926
ml_anomaly_detection_production,705,ml_quality_control,1382,24,2063,0.011634,0.034043,0.017366
ml_anomaly_detection_production,705,ml_robotics_production,873,21,1557,0.013487,0.029787,0.024055
ml_anomaly_detection_production,705,ml_rul,1555,6,2254,0.002662,0.008511,0.003859
ml_anomaly_detection_production,705,ml_supply_chain,939,25,1619,0.015442,0.035461,0.026624
ml_automation,1650,ml_automation,1650,1650,1650,1.0,1.0,1.0
ml_automation,1650,ml_defect_detection,682,89,2243,0.039679,0.053939,0.130499
ml_automation,1650,ml_manufacturing_optimization,3938,378,5210,0.072553,0.229091,0.095988
ml_automation,1650,ml_planning_production,2295,60,3885,0.015444,0.036364,0.026144
ml_automation,1650,ml_plm,252,11,1891,0.005817,0.006667,0.043651
ml_automation,1650,ml_predictive_maintenance,4395,155,5890,0.026316,0.093939,0.035267
ml_automation,1650,ml_process_control,3283,143,4790,0.029854,0.086667,0.043558
ml_automation,1650,ml_process_modeling,758,15,2393,0.006268,0.009091,0.019789
ml_automation,1650,ml_process_optimization,617,76,2191,0.034687,0.046061,0.123177
ml_automation,1650,ml_product_design,1409,40,3019,0.013249,0.024242,0.028389
ml_automation,1650,ml_product_development,915,19,2546,0.007463,0.011515,0.020765
ml_automation,1650,ml_production_optimization,7195,170,8675,0.019597,0.10303,0.023628
ml_automation,1650,ml_quality_control,1382,196,2836,0.069111,0.118788,0.141823
ml_automation,1650,ml_robotics_production,873,139,2384,0.058305,0.084242,0.159221
ml_automation,1650,ml_rul,1555,6,3199,0.001876,0.003636,0.003859
ml_automation,1650,ml_supply_chain,939,67,2522,0.026566,0.040606,0.071353
ml_defect_detection,682,ml_defect_detection,682,682,682,1.0,1.0,1.0
ml_defect_detection,682,ml_manufacturing_optimization,3938,131,4489,0.029182,0.192082,0.033266
ml_defect_detection,682,ml_planning_production,2295,4,2973,0.001345,0.005865,0.001743
ml_defect_detection,682,ml_plm,252,0,934,0.0,0.0,0.0
ml_defect_detection,682,ml_predictive_maintenance,4395,33,5044,0.006542,0.048387,0.007509
ml_defect_detection,682,ml_process_control,3283,98,3867,0.025343,0.143695,0.029851
ml_defect_detection,682,ml_process_modeling,758,2,1438,0.001391,0.002933,0.002639
ml_defect_detection,682,ml_process_optimization,617,44,1255,0.03506,0.064516,0.071313
ml_defect_detection,682,ml_product_design,1409,8,2083,0.003841,0.01173,0.005678
ml_defect_detection,682,ml_product_development,915,0,1597,0.0,0.0,0.0
ml_defect_detection,682,ml_production_optimization,7195,55,7822,0.007031,0.080645,0.007644
ml_defect_detection,682,ml_quality_control,1382,178,1886,0.09438,0.260997,0.128799
ml_defect_detection,682,ml_robotics_production,873,11,1544,0.007124,0.016129,0.0126
ml_defect_detection,682,ml_rul,1555,2,2235,0.000895,0.002933,0.001286
ml_defect_detection,682,ml_supply_chain,939,4,1617,0.002474,0.005865,0.00426
ml_manufacturing_optimization,3938,ml_manufacturing_optimization,3938,3938,3938,1.0,1.0,1.0
ml_manufacturing_optimization,3938,ml_planning_production,2295,152,6081,0.024996,0.038598,0.066231
ml_manufacturing_optimization,3938,ml_plm,252,7,4183,0.001673,0.001778,0.027778
ml_manufacturing_optimization,3938,ml_predictive_maintenance,4395,243,8090,0.030037,0.061706,0.05529
ml_manufacturing_optimization,3938,ml_process_control,3283,357,6864,0.05201,0.090655,0.108742
ml_manufacturing_optimization,3938,ml_process_modeling,758,48,4648,0.010327,0.012189,0.063325
ml_manufacturing_optimization,3938,ml_process_optimization,617,617,3938,0.156679,0.156679,1.0
ml_manufacturing_optimization,3938,ml_product_design,1409,91,5256,0.017314,0.023108,0.064585
ml_manufacturing_optimization,3938,ml_product_development,915,36,4817,0.007474,0.009142,0.039344
ml_manufacturing_optimization,3938,ml_production_optimization,7195,1235,9898,0.124773,0.313611,0.171647
ml_manufacturing_optimization,3938,ml_quality_control,1382,341,4979,0.068488,0.086592,0.246744
ml_manufacturing_optimization,3938,ml_robotics_production,873,79,4732,0.016695,0.020061,0.090493
ml_manufacturing_optimization,3938,ml_rul,1555,21,5472,0.003838,0.005333,0.013505
ml_manufacturing_optimization,3938,ml_supply_chain,939,107,4770,0.022432,0.027171,0.113951
ml_planning_production,2295,ml_planning_production,2295,2295,2295,1.0,1.0,1.0
ml_planning_production,2295,ml_plm,252,8,2539,0.003151,0.003486,0.031746
ml_planning_production,2295,ml_predictive_maintenance,4395,85,6605,0.012869,0.037037,0.01934
ml_planning_production,2295,ml_process_control,3283,44,5534,0.007951,0.019172,0.013402
ml_planning_production,2295,ml_process_modeling,758,8,3045,0.002627,0.003486,0.010554
ml_planning_production,2295,ml_process_optimization,617,11,2901,0.003792,0.004793,0.017828
ml_planning_production,2295,ml_product_design,1409,25,3679,0.006795,0.010893,0.017743
ml_planning_production,2295,ml_product_development,915,20,3190,0.00627,0.008715,0.021858
ml_planning_production,2295,ml_production_optimization,7195,623,8867,0.070261,0.27146,0.086588
ml_planning_production,2295,ml_quality_control,1382,41,3636,0.011276,0.017865,0.029667
ml_planning_production,2295,ml_robotics_production,873,102,3066,0.033268,0.044444,0.116838
ml_planning_production,2295,ml_rul,1555,14,3836,0.00365,0.0061,0.009003
ml_planning_production,2295,ml_supply_chain,939,177,3057,0.0579,0.077124,0.188498
ml_plm,252,ml_plm,252,252,252,1.0,1.0,1.0
ml_plm,252,ml_predictive_maintenance,4395,6,4641,0.001293,0.02381,0.001365
ml_plm,252,ml_process_control,3283,4,3531,0.001133,0.015873,0.001218
ml_plm,252,ml_process_modeling,758,0,1010,0.0,0.0,0.0
ml_plm,252,ml_process_optimization,617,2,867,0.002307,0.007937,0.003241
ml_plm,252,ml_product_design,1409,16,1645,0.009726,0.063492,0.011356
ml_plm,252,ml_product_development,915,8,1159,0.006903,0.031746,0.008743
ml_plm,252,ml_production_optimization,7195,8,7439,0.001075,0.031746,0.001112
ml_plm,252,ml_quality_control,1382,4,1630,0.002454,0.015873,0.002894
ml_plm,252,ml_robotics_production,873,2,1123,0.001781,0.007937,0.002291
ml_plm,252,ml_rul,1555,0,1807,0.0,0.0,0.0
ml_plm,252,ml_supply_chain,939,5,1186,0.004216,0.019841,0.005325
ml_predictive_maintenance,4395,ml_predictive_maintenance,4395,4395,4395,1.0,1.0,1.0
ml_predictive_maintenance,4395,ml_process_control,3283,93,7585,0.012261,0.02116,0.028328
ml_predictive_maintenance,4395,ml_process_modeling,758,6,5147,0.001166,0.001365,0.007916
ml_predictive_maintenance,4395,ml_process_optimization,617,67,4945,0.013549,0.015245,0.10859
ml_predictive_maintenance,4395,ml_product_design,1409,14,5790,0.002418,0.003185,0.009936
ml_predictive_maintenance,4395,ml_product_development,915,16,5294,0.003022,0.003641,0.017486
ml_predictive_maintenance,4395,ml_production_optimization,7195,209,11381,0.018364,0.047554,0.029048
ml_predictive_maintenance,4395,ml_quality_control,1382,127,5650,0.022478,0.028896,0.091896
ml_predictive_maintenance,4395,ml_robotics_production,873,45,5223,0.008616,0.010239,0.051546
ml_predictive_maintenance,4395,ml_rul,1555,430,5520,0.077899,0.097838,0.276527
ml_predictive_maintenance,4395,ml_supply_chain,939,61,5273,0.011568,0.013879,0.064963
ml_process_control,3283,ml_process_control,3283,3283,3283,1.0,1.0,1.0
ml_process_control,3283,ml_process_modeling,758,69,3972,0.017372,0.021017,0.091029
ml_process_control,3283,ml_process_optimization,617,164,3736,0.043897,0.049954,0.265802
ml_process_control,3283,ml_product_design,1409,36,4656,0.007732,0.010966,0.02555
ml_process_control,3283,ml_product_development,915,17,4181,0.004066,0.005178,0.018579
ml_process_control,3283,ml_production_optimization,7195,293,10185,0.028768,0.089248,0.040723
ml_process_control,3283,ml_quality_control,1382,226,4439,0.050912,0.068839,0.163531
ml_process_control,3283,ml_robotics_production,873,22,4134,0.005322,0.006701,0.0252
ml_process_control,3283,ml_rul,1555,5,4833,0.001035,0.001523,0.003215
ml_process_control,3283,ml_supply_chain,939,18,4204,0.004282,0.005483,0.019169
ml_process_modeling,758,ml_process_modeling,758,758,758,1.0,1.0,1.0
ml_process_modeling,758,ml_process_optimization,617,12,1363,0.008804,0.015831,0.019449
ml_process_modeling,758,ml_product_design,1409,8,2159,0.003705,0.010554,0.005678
ml_process_modeling,758,ml_product_development,915,3,1670,0.001796,0.003958,0.003279
ml_process_modeling,758,ml_production_optimization,7195,57,7896,0.007219,0.075198,0.007922
ml_process_modeling,758,ml_quality_control,1382,14,2126,0.006585,0.01847,0.01013
ml_process_modeling,758,ml_robotics_production,873,2,1629,0.001228,0.002639,0.002291
ml_process_modeling,758,ml_rul,1555,1,2312,0.000433,0.001319,0.000643
ml_process_modeling,758,ml_supply_chain,939,0,1697,0.0,0.0,0.0
ml_process_optimization,617,ml_process_optimization,617,617,617,1.0,1.0,1.0
ml_process_optimization,617,ml_product_design,1409,19,2007,0.009467,0.030794,0.013485
ml_process_optimization,617,ml_product_development,915,10,1522,0.00657,0.016207,0.010929
ml_process_optimization,617,ml_production_optimization,7195,237,7575,0.031287,0.384117,0.03294
ml_process_optimization,617,ml_quality_control,1382,101,1898,0.053214,0.163695,0.073082
ml_process_optimization,617,ml_robotics_production,873,14,1476,0.009485,0.02269,0.016037
ml_process_optimization,617,ml_rul,1555,2,2170,0.000922,0.003241,0.001286
ml_process_optimization,617,ml_supply_chain,939,10,1546,0.006468,0.016207,0.01065
ml_product_design,1409,ml_product_design,1409,1409,1409,1.0,1.0,1.0
ml_product_design,1409,ml_product_development,915,161,2163,0.074434,0.114265,0.175956
ml_product_design,1409,ml_production_optimization,7195,61,8543,0.00714,0.043293,0.008478
ml_product_design,1409,ml_quality_control,1382,32,2759,0.011598,0.022711,0.023155
ml_product_design,1409,ml_robotics_production,873,7,2275,0.003077,0.004968,0.008018
ml_product_design,1409,ml_rul,1555,3,2961,0.001013,0.002129,0.001929
ml_product_design,1409,ml_supply_chain,939,18,2330,0.007725,0.012775,0.019169
ml_product_development,915,ml_product_development,915,915,915,1.0,1.0,1.0
ml_product_development,915,ml_production_optimization,7195,37,8073,0.004583,0.040437,0.005142
ml_product_development,915,ml_quality_control,1382,18,2279,0.007898,0.019672,0.013025
ml_product_development,915,ml_robotics_production,873,9,1779,0.005059,0.009836,0.010309
ml_product_development,915,ml_rul,1555,3,2467,0.001216,0.003279,0.001929
ml_product_development,915,ml_supply_chain,939,16,1838,0.008705,0.017486,0.017039
ml_production_optimization,7195,ml_production_optimization,7195,7195,7195,1.0,1.0,1.0
ml_production_optimization,7195,ml_quality_control,1382,177,8400,0.021071,0.0246,0.128075
ml_production_optimization,7195,ml_robotics_production,873,166,7902,0.021007,0.023072,0.190149
ml_production_optimization,7195,ml_rul,1555,21,8729,0.002406,0.002919,0.013505
ml_production_optimization,7195,ml_supply_chain,939,271,7863,0.034465,0.037665,0.288605
ml_quality_control,1382,ml_quality_control,1382,1382,1382,1.0,1.0,1.0
ml_quality_control,1382,ml_robotics_production,873,37,2218,0.016682,0.026773,0.042383
ml_quality_control,1382,ml_rul,1555,2,2935,0.000681,0.001447,0.001286
ml_quality_control,1382,ml_supply_chain,939,38,2283,0.016645,0.027496,0.040469
ml_robotics_production,873,ml_robotics_production,873,873,873,1.0,1.0,1.0
ml_robotics_production,873,ml_rul,1555,5,2423,0.002064,0.005727,0.003215
ml_robotics_production,873,ml_supply_chain,939,77,1735,0.04438,0.088202,0.082002
ml_rul,1555,ml_rul,1555,1555,1555,1.0,1.0,1.0
ml_rul,1555,ml_supply_chain,939,2,2492,0.000803,0.001286,0.00213
ml_supply_chain,939,ml_supply_chain,939,939,939,1.0,1.0,1.0
